"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput"
0.1,1.5,0.2318248,0.22798567,0.23559847,0.18612386,0.15635025,0.21320624,0.52714171,0.0058666,-0.00948058,0.0221614,0.87124743,2.03851281,0.74032995,1.13747367,1.38339893,1.29426347
0.1,2,0.23808717,0.23388358,0.24215218,0.26024527,0.22488336,0.29352267,0.51384625,0.0046611,-0.01253833,0.02065818,0.91232599,2.41560172,0.80325404,1.17512266,1.30103013,1.35681761
0.1,2.5,0.24934784,0.24489798,0.25379139,0.38678081,0.34851167,0.41980612,0.50788863,0.00325402,-0.01490097,0.02153702,1.00464154,2.72535343,0.90976175,1.26457886,1.1634232,1.47751246
0.1,3,0.2555839,0.25127629,0.26001164,0.45881399,0.4165201,0.50042869,0.50087902,-0.01181343,-0.03442457,0.00784047,1.07373348,3.14681804,0.99046687,1.33570333,1.06789627,1.58172209
0.1,3.5,0.26108632,0.25655398,0.26559226,0.58975243,0.54918514,0.62552015,0.49071025,-0.00074756,-0.01884976,0.01799992,1.21556,3.59995421,1.13856807,1.49384906,0.90575406,1.78407466
0.1,4,0.26733914,0.26236077,0.27237642,0.65123154,0.60729747,0.69313891,0.47692916,0.00641529,-0.01275751,0.024566,1.34924148,3.89581916,1.27937751,1.62131562,0.79605557,1.87317348
0.1,4.5,0.27920669,0.27376725,0.28436,0.75768696,0.71423805,0.79531014,0.45508916,-0.00604095,-0.02617775,0.01457487,1.57376911,4.38460242,1.5126611,1.84008765,0.64457561,2.09008934
0.1,5,0.286524244897959,0.278971326530612,0.293341387755102,0.778198989795918,0.727176765306122,0.821840387755102,0.428476244897959,0.000210336734693878,-0.0198652857142857,0.0229677959183673,1.69518567346939,4.96549202040816,1.64908840816327,1.92003616326531,0.563949887755102,2.13697246938775
0.1,5.5,0.299528757894737,0.291070968421053,0.307532936842105,0.834333610526316,0.777786884210526,0.882380557894737,0.3933938,-0.00757418947368421,-0.0271249789473684,0.0110033157894737,1.90816835789474,5.12544918947368,1.86823861052632,2.12079607368421,0.425842673684211,2.32725265263158
0.2,1.5,0.31358698,0.30823463,0.31842019,0.16282671,0.13609486,0.18826633,0.46292603,0.00317813,-0.01135703,0.01766319,0.85673287,2.033601,0.72566831,1.12093059,1.1748824,1.39596412
0.2,2,0.33611262,0.3296232,0.34208294,0.22886029,0.19254016,0.26172948,0.45886691,0.01393584,-0.00372147,0.03280564,0.90673036,2.36722969,0.80192783,1.15399281,1.09376236,1.43021665
0.2,2.5,0.3496502,0.34361874,0.35526778,0.32999338,0.29531438,0.36302435,0.4510438,-0.000406489999999999,-0.01832187,0.01835438,0.96607858,2.73222248,0.87458088,1.21545627,0.98977602,1.53125199
0.2,3,0.35165716,0.34588385,0.35751992,0.37547914,0.32551345,0.41872725,0.44387506,0.01447943,-0.00298806,0.03214457,1.0168022,2.99650801,0.93070975,1.27574689,0.95484815,1.59898928
0.2,3.5,0.36461685,0.35781506,0.3712156,0.4637929,0.4180972,0.50664032,0.4373725,0.01066065,-0.00967627,0.02955085,1.10567457,3.40334124,1.03555824,1.34407837,0.85325207,1.64269131
0.2,4,0.3789991,0.37283882,0.38510698,0.58009237,0.54204178,0.61344635,0.43334691,0.01666848,-0.00082817,0.0346216,1.21442799,3.73725398,1.15115116,1.45151863,0.75680795,1.76844507
0.2,4.5,0.39076737,0.38353913,0.3986478,0.64658908,0.6020924,0.6835344,0.42086265,-0.00487823,-0.02404554,0.01493717,1.33339318,4.09842913,1.27198148,1.58399726,0.66985385,1.89341606
0.2,5,0.40134955,0.39404812,0.40856078,0.738583,0.70335783,0.76932519,0.40914857,0.01630121,-0.00506984,0.03787333,1.50834526,4.30822412,1.45340236,1.74479995,0.56562555,2.01435165
0.2,5.5,0.40480172,0.39660399,0.41308697,0.75499148,0.70404027,0.79987374,0.38490814,0.00456961,-0.0148033,0.02412819,1.62539906,4.819256,1.57975564,1.84950348,0.48020069,2.10697351
0.3,1.5,0.3585662,0.35253898,0.36487946,0.13026056,0.10385432,0.1534888,0.4130388,-0.00782125,-0.02396244,0.00915995,0.85777273,1.98000652,0.73268831,1.1048952,1.01569925,1.48985462
0.3,2,0.37874626,0.37163902,0.38589132,0.18568015,0.15453127,0.2163588,0.40887738,-0.00205035,-0.01671814,0.01398638,0.88381735,2.20226678,0.77933121,1.1145855,0.95351152,1.50668104
0.3,2.5,0.40112199,0.39498311,0.40709164,0.25574291,0.21223131,0.29120422,0.40673426,-0.00091966,-0.01751982,0.01848958,0.93726873,2.53923134,0.84465707,1.17258378,0.87558041,1.51910415
0.3,3,0.42024393,0.41431884,0.4270771,0.39622732,0.35980329,0.4280503,0.40273467,0.00334436,-0.01185524,0.02009013,1.02002355,2.87633243,0.93424974,1.26480448,0.80590967,1.63149919
0.3,3.5,0.43395003,0.42743276,0.4401455,0.44293338,0.39574921,0.4861226,0.39944009,-0.01398282,-0.03281354,0.00511317,1.08971755,3.08868744,1.01709162,1.31515471,0.75367796,1.6337715
0.3,4,0.43846312,0.43065678,0.44616376,0.47470825,0.43023642,0.51634224,0.39016585,-0.0228514,-0.03978838,-0.00330154,1.12296106,3.39237673,1.06142255,1.33273999,0.69123513,1.6826576
0.3,4.5,0.45951545,0.45184195,0.468102,0.59790151,0.55877436,0.63387253,0.38456679,-0.00392358,-0.02164499,0.01444106,1.26806228,3.77829724,1.21051296,1.48561636,0.61335281,1.8210715
0.3,5,0.4606728,0.45285441,0.46856139,0.640658,0.59404198,0.68267658,0.37364273,-0.01542419,-0.03513165,0.0050274,1.34390854,4.22966955,1.29553149,1.54941619,0.54044998,1.89067876
0.3,5.5,0.47930998,0.46721995,0.48929487,0.71290017,0.6687038,0.7532603,0.36347592,-0.0015676,-0.02294574,0.01970139,1.49137651,4.35569398,1.44486357,1.6972739,0.47775068,2.03419823
0.4,1.5,0.37083089,0.36375099,0.37758517,0.09769695,0.07297318,0.1194131,0.35613321,0.0039186,-0.01219992,0.02053889,0.83229126,1.85883409,0.70289054,1.07109709,0.89173036,1.58632839
0.4,2,0.41188502,0.40498695,0.41917941,0.20195922,0.17793228,0.23017415,0.36866423,0.00484446,-0.00917211,0.01955153,0.89071245,2.17864839,0.77785285,1.13599877,0.84934393,1.58977087
0.4,2.5,0.43004679,0.42363197,0.43663422,0.24613262,0.2127871,0.27880376,0.36985847,0.00486036,-0.01165156,0.02081409,0.92048152,2.42608398,0.82248747,1.15783441,0.79684986,1.59515593
0.4,3,0.44724116,0.4391889,0.45429595,0.30237192,0.26322041,0.33962346,0.36614732,-0.003083,-0.02049474,0.01458829,0.96685469,2.75422236,0.88518489,1.19181835,0.74925093,1.59448105
0.4,3.5,0.47238035,0.46554439,0.47934143,0.38308997,0.34725925,0.4166427,0.36673067,0.00104643,-0.01987788,0.02181036,1.02432598,2.97758494,0.95029295,1.24508259,0.7031873,1.6507784
0.4,4,0.48024396,0.47281668,0.48729914,0.4548199,0.41275674,0.48969418,0.36260207,-0.01208086,-0.03098533,0.00833214,1.10352274,3.33676385,1.03917338,1.31697435,0.63984675,1.69186533
0.4,4.5,0.50120074,0.49283807,0.50946164,0.54640698,0.50489932,0.58353126,0.35563205,0.00288269,-0.01744232,0.02212012,1.2142471,3.52339732,1.1582139,1.41263204,0.56661349,1.79386458
0.4,5,0.50801886,0.49958141,0.51699042,0.59358742,0.54889647,0.62963817,0.34844964,0.00877632,-0.0126742,0.03087861,1.27555221,3.98684413,1.22358518,1.48366359,0.5227046,1.83206439
0.4,5.5,0.50793205,0.49832692,0.51840971,0.59643272,0.54157207,0.64821943,0.33312628,-0.01169551,-0.03475974,0.012081,1.3466217,4.11146866,1.29969018,1.54091821,0.49318816,1.91571588
0.5,1.5,0.36662109,0.35989927,0.37373507,0.07768035,0.0536175,0.10038634,0.31351764,-0.00055049,-0.01355896,0.01303763,0.83478338,1.81043277,0.70204862,1.07450759,0.79522143,1.72052997
0.5,2,0.40994045,0.40205929,0.41761817,0.14530185,0.11941396,0.17045927,0.32579188,0.01303993,-0.00305725,0.03024862,0.86174708,2.0664038,0.74362067,1.10418385,0.75807407,1.67146335
0.5,2.5,0.4511098,0.44448649,0.45717151,0.21665345,0.18366895,0.24482254,0.33302878,-0.00267721,-0.01746707,0.01197649,0.90792573,2.37012701,0.80845253,1.14379376,0.73580655,1.6390222
0.5,3,0.46699914,0.45784795,0.47632572,0.28773922,0.25558791,0.31918048,0.33643675,-0.00298983,-0.02150306,0.01617514,0.95811335,2.56183722,0.870018,1.18146495,0.69148656,1.65698899
0.5,3.5,0.48339013,0.47660999,0.49055708,0.32955115,0.29837678,0.35726078,0.33412649,0.01344522,-0.0053874,0.03048616,0.98714904,2.82240952,0.91346093,1.19387688,0.64130459,1.6565832
0.5,4,0.49982715,0.4901506,0.50916291,0.38597427,0.33778148,0.42864498,0.3282881,0.00402518,-0.01385026,0.02272299,1.0568278,3.0509083,0.98770477,1.26849088,0.60187586,1.73109212
0.5,4.5,0.51664251,0.50801132,0.5250027,0.47383452,0.43135889,0.51401028,0.33002982,0.00165025,-0.01772511,0.02191107,1.14383406,3.35603857,1.08194733,1.35191715,0.55103463,1.77005248
0.5,5,0.52747895,0.51933626,0.53597773,0.55499589,0.51656398,0.59043759,0.31760523,-0.01626158,-0.03841857,0.00538042,1.23769373,3.4864038,1.17539337,1.45562926,0.49106434,1.85774201
0.5,5.5,0.53560303,0.52590077,0.54512241,0.55524771,0.50284747,0.60813868,0.31328666,0.00523183,-0.01364928,0.02443259,1.28181265,3.83067294,1.23302204,1.47333941,0.4923185,1.84934917
0.6,1.5,0.35197908,0.34399544,0.35949725,0.03670946,0.01765529,0.05798985,0.27174615,0.00325928,-0.01222445,0.0179812,0.82059067,1.69448355,0.6817606,1.05548908,0.67930931,1.79840645
0.6,2,0.40931487,0.40220028,0.41630743,0.12783177,0.10376993,0.1510317,0.29015868,0.00482868,-0.01171532,0.02053183,0.84989561,2.00075272,0.72665408,1.09630849,0.69288529,1.7396167
0.6,2.5,0.45000056,0.44296844,0.45713747,0.1572924,0.12615108,0.18407727,0.3021382,0.0037355,-0.01292535,0.01891423,0.87612457,2.20883865,0.77021398,1.10998052,0.68995982,1.69090839
0.6,3,0.47263124,0.46344497,0.48124004,0.22110701,0.18873889,0.25124913,0.30156688,0.01704649,0.000497339999999998,0.03440183,0.91410597,2.41952047,0.82045208,1.13995733,0.65296339,1.69158629
0.6,3.5,0.49685575,0.48829219,0.50518599,0.26854244,0.23071343,0.30586528,0.30813561,-0.01017313,-0.02847212,0.0084273,0.95974353,2.69343329,0.87491423,1.1871411,0.64093673,1.70416883
0.6,4,0.51378406,0.50525295,0.52273278,0.35813522,0.32217782,0.39471421,0.30288029,-0.00767293,-0.02531172,0.00882707,1.02337855,2.94529616,0.9455058,1.25153652,0.57478782,1.75476792
0.6,4.5,0.53178283,0.52228673,0.54195265,0.42854646,0.39201087,0.46500095,0.30408152,0.0095517,-0.01076494,0.03041631,1.09124861,3.16293312,1.02062165,1.3126538,0.52539629,1.75760445
0.6,5,0.54435057,0.53538899,0.55278621,0.4869229,0.44672611,0.52054454,0.30143948,0.00232002,-0.01499321,0.01985606,1.16497129,3.35359169,1.10548401,1.36569741,0.49663918,1.82653157
0.6,5.5,0.56131823,0.55112183,0.57233601,0.55763574,0.51727316,0.59201781,0.29356422,0.00088942,-0.02013493,0.02201385,1.2449027,3.69808781,1.19762532,1.42042883,0.43156104,1.83874334
0.7,1.5,0.33091443,0.31808964,0.34095955,0.04105636,0.02344593,0.05834221,0.23408639,-0.00286431,-0.02030819,0.01302462,0.82926457,1.61010725,0.67419664,1.07637966,0.61322576,1.95184588
0.7,2,0.39886416,0.39199649,0.40549698,0.08804012,0.06436401,0.11077232,0.26021987,-0.0041432,-0.01858748,0.01246776,0.84220572,1.87920284,0.70952514,1.09104753,0.63625626,1.84303954
0.7,2.5,0.44306345,0.43589923,0.45066482,0.14338904,0.11411914,0.16936748,0.27242789,-0.0029283,-0.01679946,0.01201543,0.87367026,2.11511329,0.7646356,1.10318685,0.60600614,1.78069258
0.7,3,0.48220131,0.47462002,0.490353,0.21798372,0.18354894,0.24819451,0.27859701,0.00359795,-0.01110575,0.01891888,0.92084377,2.38136442,0.8263088,1.14537056,0.58296833,1.72950501
0.7,3.5,0.50660705,0.49957631,0.51416061,0.27999858,0.25355229,0.30643481,0.28365649,0.01327719,-0.000161050000000001,0.02827379,0.95339569,2.55629311,0.86826186,1.17086859,0.57550822,1.7209442
0.7,4,0.52174537,0.51212352,0.53082413,0.3160455,0.27694473,0.3509903,0.28286542,0.00332434,-0.01460322,0.0197156,0.99171161,2.79966115,0.91431497,1.20804944,0.53933505,1.75547267
0.7,4.5,0.54240889,0.53310407,0.55158829,0.39514998,0.35741795,0.43092976,0.2806426,0.01445292,-0.00555756,0.03560035,1.07019013,2.95327165,1.00006373,1.2777758,0.49770718,1.76863985
0.7,5,0.55256033,0.54117765,0.56348231,0.43546009,0.39441904,0.47634219,0.27364817,-0.00733225,-0.02622399,0.01052293,1.10718528,3.21815249,1.04645527,1.30126376,0.46533725,1.80465124
0.7,5.5,0.56245742,0.55360297,0.57053337,0.49532176,0.45828442,0.53047643,0.27230996,0.01534874,-0.00649342,0.03645389,1.18412337,3.47249775,1.12737573,1.37825224,0.44110672,1.88665728
0.8,1.5,0.31922959,0.31161838,0.3270713,0.01400048,-0.00293308,0.03069126,0.20436928,-0.00038057,-0.01421131,0.01361275,0.81696169,1.52809536,0.65984873,1.05670716,0.55121174,2.00743592
0.8,2,0.38677963,0.37753994,0.39584158,0.04566806,0.02176949,0.06695997,0.23342302,0.00920963,-0.00515739,0.02239211,0.82923461,1.78130216,0.69622142,1.06512127,0.57580951,1.87792961
0.8,2.5,0.43759374,0.42998312,0.44508822,0.12211714,0.09474139,0.14732915,0.24510819,0.00318744,-0.01168731,0.01698003,0.86955847,2.01611444,0.75618117,1.09823154,0.56346336,1.83119442
0.8,3,0.47157888,0.46303141,0.48046015,0.1907483,0.16065989,0.2190445,0.25079974,0.01119809,-0.00517026,0.026228,0.89657311,2.24343029,0.79638297,1.12055033,0.54842353,1.77754676
0.8,3.5,0.50230746,0.49520047,0.50923481,0.24963031,0.22271394,0.27730605,0.25960527,-0.01156427,-0.03079908,0.00705985,0.92635643,2.45988531,0.83340415,1.15355802,0.51628988,1.77991519
0.8,4,0.52816849,0.51953682,0.53601629,0.29454865,0.26188644,0.3260134,0.25775494,-0.01696113,-0.03572051,0.00263158,0.98250626,2.64094211,0.90098823,1.19778872,0.50048134,1.77532076
0.8,4.5,0.53718529,0.52776628,0.54714607,0.32060843,0.2828922,0.35772532,0.26363143,0.00620047,-0.01137149,0.02404855,0.99599813,2.87006798,0.92106918,1.2083155,0.49388154,1.7809044
0.8,5,0.5545858,0.54577927,0.5639116,0.41510924,0.38099859,0.44593187,0.25614603,0.00666498,-0.01078281,0.02590881,1.08239416,3.17268832,1.01619453,1.2906767,0.44548086,1.85856161
0.8,5.5,0.57495362,0.56517239,0.585154,0.46372699,0.42551228,0.49960605,0.25552586,-0.01256371,-0.03468687,0.00691634,1.12874247,3.31624637,1.06935102,1.32483052,0.40870002,1.85878909
0.9,1.5,0.28121066,0.2658043,0.29403103,0.01860619,0.00230933,0.03322694,0.17060219,-0.00311852,-0.0167675,0.00942771,0.82204745,1.41604205,0.64425369,1.0703402,0.45640267,2.18484626
0.9,2,0.37269199,0.36442005,0.38002084,0.0503995,0.03253739,0.06971443,0.2092069,0.000194910000000001,-0.01674725,0.01767124,0.82678576,1.73881153,0.68730164,1.06807428,0.52188467,1.97634415
0.9,2.5,0.43040914,0.42316301,0.43785666,0.09871625,0.07294929,0.12213134,0.22657645,0.00465066,-0.00905177,0.01867413,0.84408357,1.95095647,0.7240064,1.07691955,0.52031775,1.87239068
0.9,3,0.4585268,0.45054746,0.46612478,0.15866264,0.13255866,0.18629559,0.23086306,-0.00094238,-0.01659842,0.0145158,0.88922869,2.09722755,0.7774326,1.12404914,0.50935164,1.88396789
0.9,3.5,0.49051939,0.48221423,0.49770359,0.19262938,0.16317307,0.22206982,0.23684103,-0.00302672,-0.02027736,0.01313421,0.90259927,2.34684029,0.80971936,1.11921256,0.49785675,1.77929998
0.9,4,0.52064979,0.51131005,0.53055077,0.26012261,0.22493956,0.29338127,0.23807675,0.01858399,0.000230500000000001,0.034873,0.95129232,2.58568378,0.8669678,1.16854992,0.470858,1.81491839
0.9,4.5,0.54371082,0.53378292,0.55286255,0.31664393,0.2830538,0.35056666,0.24487625,0.00787819,-0.00936105,0.02668451,1.00351135,2.75408553,0.9240603,1.22311594,0.4582247,1.80105384
0.9,5,0.55097925,0.54186257,0.56146281,0.31984807,0.27519176,0.36451171,0.23842291,-0.00402619,-0.02190487,0.01365829,1.01117515,2.95598425,0.94219676,1.21509816,0.44521191,1.82638176
0.9,5.5,0.57329688,0.56401774,0.58288686,0.39106953,0.35232282,0.42363724,0.23813511,-0.01044665,-0.02817748,0.00644895,1.08661863,3.17086802,1.02661099,1.275239,0.40629385,1.80240896
1,1.5,0.2679801,0.25804876,0.27680381,-0.00616689,-0.01802744,0.00562812,0.14984435,-0.00131309,-0.01544867,0.01295772,0.80938502,1.38935184,0.63680718,1.04827619,0.41895027,2.22541553
1,2,0.35332794,0.34515634,0.36183223,0.02436626,0.00731245,0.0407229,0.18388502,0.00987061,-0.00361303,0.02287174,0.81720148,1.62426486,0.67046038,1.05498655,0.46688696,2.04336911
1,2.5,0.40246939,0.38809657,0.4133963,0.08950196,0.06608305,0.11233678,0.19514395,0.00557364,-0.01015032,0.02051634,0.8550925,1.81276919,0.72497566,1.08809344,0.46517043,1.97052996
1,3,0.45268167,0.44404726,0.46089018,0.13558992,0.11166854,0.16060805,0.2112631,-0.00482604,-0.01853406,0.00797773,0.8772229,2.04932138,0.76925478,1.0977133,0.47453086,1.86826452
1,3.5,0.48773516,0.47894665,0.4957474,0.17922731,0.14614268,0.21092224,0.22042997,0.00054702,-0.01574333,0.01808515,0.90221023,2.25188956,0.8025875,1.12493152,0.47094425,1.85642652
1,4,0.50842568,0.50082987,0.51662835,0.2346741,0.2039862,0.26241096,0.22203463,0.00836896,-0.0080117,0.02408428,0.92448048,2.50789648,0.83208121,1.15450794,0.44102869,1.84716689
1,4.5,0.52782965,0.51792149,0.53750663,0.24497867,0.20903996,0.28077936,0.21919195,-0.00476492,-0.0191579,0.00974106,0.95345024,2.61087327,0.87045846,1.16996589,0.44169977,1.83725895
1,5,0.55782449,0.54782242,0.56901273,0.30878342,0.26767202,0.34606495,0.23379741,0.01047433,-0.0077783,0.02944977,0.98718871,2.83287929,0.91553413,1.18928334,0.43268458,1.81909878
